task_type,stimulus_id,stimulus_name,stimulus_file,label_rule,fixed_label
LTD,50,# it includes far more than 4 items because at least 4 items are necessary for presentation and F,,block_target_membership,
LTD,51,# it includes far more than 4 items because at least 4 items are necessary for presentation and G,,block_target_membership,
LTD,52,# it includes far more than 4 items because at least 4 items are necessary for presentation and H,,block_target_membership,
LTD,53,# it includes far more than 4 items because at least 4 items are necessary for presentation and J,,block_target_membership,
LTD,54,# it includes far more than 4 items because at least 4 items are necessary for presentation and K,,block_target_membership,
LTD,55,# it includes far more than 4 items because at least 4 items are necessary for presentation and L,,block_target_membership,
LTD,56,# it includes far more than 4 items because at least 4 items are necessary for presentation and M,,block_target_membership,
LTD,57,# it includes far more than 4 items because at least 4 items are necessary for presentation and N,,block_target_membership,
LTD,58,# it includes far more than 4 items because at least 4 items are necessary for presentation and P,,block_target_membership,
LTD,59,# it includes far more than 4 items because at least 4 items are necessary for presentation and Q,,block_target_membership,
LTD,60,# it includes far more than 4 items because at least 4 items are necessary for presentation and R,,block_target_membership,
LTD,61,# it includes far more than 4 items because at least 4 items are necessary for presentation and S,,block_target_membership,
LTD,62,# it includes far more than 4 items because at least 4 items are necessary for presentation and T,,block_target_membership,
LTD,63,# it includes far more than 4 items because at least 4 items are necessary for presentation and V,,block_target_membership,
LTD,64,# it includes far more than 4 items because at least 4 items are necessary for presentation and W,,block_target_membership,
LTD,65,# it includes far more than 4 items because at least 4 items are necessary for presentation and X,,block_target_membership,
LTD,66,# it includes far more than 4 items because at least 4 items are necessary for presentation and Y,,block_target_membership,
LTD,67,# the targets drawn from this pool of letters for each block should not be repeated B,,block_target_membership,
LTD,68,# the targets drawn from this pool of letters for each block should not be repeated C,,block_target_membership,
LTD,69,# the targets drawn from this pool of letters for each block should not be repeated D,,block_target_membership,
LTD,70,# the targets drawn from this pool of letters for each block should not be repeated F,,block_target_membership,
LTD,71,# the targets drawn from this pool of letters for each block should not be repeated G,,block_target_membership,
LTD,72,# the targets drawn from this pool of letters for each block should not be repeated H,,block_target_membership,
LTD,73,# the targets drawn from this pool of letters for each block should not be repeated J,,block_target_membership,
LTD,74,# the targets drawn from this pool of letters for each block should not be repeated K,,block_target_membership,
LTD,75,# the targets drawn from this pool of letters for each block should not be repeated L,,block_target_membership,
LTD,76,# the targets drawn from this pool of letters for each block should not be repeated M,,block_target_membership,
LTD,77,# the targets drawn from this pool of letters for each block should not be repeated N,,block_target_membership,
LTD,78,# the targets drawn from this pool of letters for each block should not be repeated P,,block_target_membership,
LTD,79,# the targets drawn from this pool of letters for each block should not be repeated Q,,block_target_membership,
LTD,80,# the targets drawn from this pool of letters for each block should not be repeated R,,block_target_membership,
LTD,81,# the targets drawn from this pool of letters for each block should not be repeated S,,block_target_membership,
LTD,82,# the targets drawn from this pool of letters for each block should not be repeated T,,block_target_membership,
LTD,83,# the targets drawn from this pool of letters for each block should not be repeated V,,block_target_membership,
LTD,84,# the targets drawn from this pool of letters for each block should not be repeated W,,block_target_membership,
LTD,85,# the targets drawn from this pool of letters for each block should not be repeated X,,block_target_membership,
LTD,86,# the targets drawn from this pool of letters for each block should not be repeated Y,,block_target_membership,
LTD,87,B C,,block_target_membership,
LTD,88,B D,,block_target_membership,
LTD,89,B F,,block_target_membership,
LTD,90,B G,,block_target_membership,
LTD,91,B H,,block_target_membership,
LTD,92,B J,,block_target_membership,
LTD,93,B K,,block_target_membership,
LTD,94,B L,,block_target_membership,
LTD,95,B M,,block_target_membership,
LTD,96,B N,,block_target_membership,
LTD,97,B P,,block_target_membership,
LTD,98,B Q,,block_target_membership,
LTD,99,B R,,block_target_membership,
LTD,100,B S,,block_target_membership,
LTD,101,B T,,block_target_membership,
LTD,102,B V,,block_target_membership,
LTD,103,B W,,block_target_membership,
LTD,104,B X,,block_target_membership,
LTD,105,B Y,,block_target_membership,
LTD,106,C D,,block_target_membership,
LTD,107,C F,,block_target_membership,
LTD,108,C G,,block_target_membership,
LTD,109,C H,,block_target_membership,
LTD,110,C J,,block_target_membership,
LTD,111,C K,,block_target_membership,
LTD,112,C L,,block_target_membership,
LTD,113,C M,,block_target_membership,
LTD,114,C N,,block_target_membership,
LTD,115,C P,,block_target_membership,
LTD,116,C Q,,block_target_membership,
LTD,117,C R,,block_target_membership,
LTD,118,C S,,block_target_membership,
LTD,119,C T,,block_target_membership,
LTD,120,C V,,block_target_membership,
LTD,121,C W,,block_target_membership,
LTD,122,C X,,block_target_membership,
LTD,123,C Y,,block_target_membership,
LTD,124,D F,,block_target_membership,
LTD,125,D G,,block_target_membership,
LTD,126,D H,,block_target_membership,
LTD,127,D J,,block_target_membership,
LTD,128,D K,,block_target_membership,
LTD,129,D L,,block_target_membership,
LTD,130,D M,,block_target_membership,
LTD,131,D N,,block_target_membership,
LTD,132,D P,,block_target_membership,
LTD,133,D Q,,block_target_membership,
LTD,134,D R,,block_target_membership,
LTD,135,D S,,block_target_membership,
LTD,136,D T,,block_target_membership,
LTD,137,D V,,block_target_membership,
LTD,138,D W,,block_target_membership,
LTD,139,D X,,block_target_membership,
LTD,140,D Y,,block_target_membership,
LTD,141,F G,,block_target_membership,
LTD,142,F H,,block_target_membership,
LTD,143,F J,,block_target_membership,
LTD,144,F K,,block_target_membership,
LTD,145,F L,,block_target_membership,
LTD,146,F M,,block_target_membership,
LTD,147,F N,,block_target_membership,
LTD,148,F P,,block_target_membership,
LTD,149,F Q,,block_target_membership,
LTD,150,F R,,block_target_membership,
LTD,151,F S,,block_target_membership,
LTD,152,F T,,block_target_membership,
LTD,153,F V,,block_target_membership,
LTD,154,F W,,block_target_membership,
LTD,155,F X,,block_target_membership,
LTD,156,F Y,,block_target_membership,
LTD,157,G H,,block_target_membership,
LTD,158,G J,,block_target_membership,
LTD,159,G K,,block_target_membership,
LTD,160,G L,,block_target_membership,
LTD,161,G M,,block_target_membership,
LTD,162,G N,,block_target_membership,
LTD,163,G P,,block_target_membership,
LTD,164,G Q,,block_target_membership,
LTD,165,G R,,block_target_membership,
LTD,166,G S,,block_target_membership,
LTD,167,G T,,block_target_membership,
LTD,168,G V,,block_target_membership,
LTD,169,G W,,block_target_membership,
LTD,170,G X,,block_target_membership,
LTD,171,G Y,,block_target_membership,
LTD,172,H J,,block_target_membership,
LTD,173,H K,,block_target_membership,
LTD,174,H L,,block_target_membership,
LTD,175,H M,,block_target_membership,
LTD,176,H N,,block_target_membership,
LTD,177,H P,,block_target_membership,
LTD,178,H Q,,block_target_membership,
LTD,179,H R,,block_target_membership,
LTD,180,H S,,block_target_membership,
LTD,181,H T,,block_target_membership,
LTD,182,H V,,block_target_membership,
LTD,183,H W,,block_target_membership,
LTD,184,H X,,block_target_membership,
LTD,185,H Y,,block_target_membership,
LTD,186,J K,,block_target_membership,
LTD,187,J L,,block_target_membership,
LTD,188,J M,,block_target_membership,
LTD,189,J N,,block_target_membership,
LTD,190,J P,,block_target_membership,
LTD,191,J Q,,block_target_membership,
LTD,192,J R,,block_target_membership,
LTD,193,J S,,block_target_membership,
LTD,194,J T,,block_target_membership,
LTD,195,J V,,block_target_membership,
LTD,196,J W,,block_target_membership,
LTD,197,J X,,block_target_membership,
LTD,198,J Y,,block_target_membership,
LTD,199,K L,,block_target_membership,
LTD,200,K M,,block_target_membership,
LTD,201,K N,,block_target_membership,
LTD,202,K P,,block_target_membership,
LTD,203,K Q,,block_target_membership,
LTD,204,K R,,block_target_membership,
LTD,205,K S,,block_target_membership,
LTD,206,K T,,block_target_membership,
LTD,207,K V,,block_target_membership,
LTD,208,K W,,block_target_membership,
LTD,209,K X,,block_target_membership,
LTD,210,K Y,,block_target_membership,
LTD,211,L M,,block_target_membership,
LTD,212,L N,,block_target_membership,
LTD,213,L P,,block_target_membership,
LTD,214,L Q,,block_target_membership,
LTD,215,L R,,block_target_membership,
LTD,216,L S,,block_target_membership,
LTD,217,L T,,block_target_membership,
LTD,218,L V,,block_target_membership,
LTD,219,L W,,block_target_membership,
LTD,220,L X,,block_target_membership,
LTD,221,L Y,,block_target_membership,
LTD,222,M N,,block_target_membership,
LTD,223,M P,,block_target_membership,
LTD,224,M Q,,block_target_membership,
LTD,225,M R,,block_target_membership,
LTD,226,M S,,block_target_membership,
LTD,227,M T,,block_target_membership,
LTD,228,M V,,block_target_membership,
LTD,229,M W,,block_target_membership,
LTD,230,M X,,block_target_membership,
LTD,231,M Y,,block_target_membership,
LTD,232,N P,,block_target_membership,
LTD,233,N Q,,block_target_membership,
LTD,234,N R,,block_target_membership,
LTD,235,N S,,block_target_membership,
LTD,236,N T,,block_target_membership,
LTD,237,N V,,block_target_membership,
LTD,238,N W,,block_target_membership,
LTD,239,N X,,block_target_membership,
LTD,240,N Y,,block_target_membership,
LTD,241,P Q,,block_target_membership,
LTD,242,P R,,block_target_membership,
LTD,243,P S,,block_target_membership,
LTD,244,P T,,block_target_membership,
LTD,245,P V,,block_target_membership,
LTD,246,P W,,block_target_membership,
LTD,247,P X,,block_target_membership,
LTD,248,P Y,,block_target_membership,
LTD,249,Q R,,block_target_membership,
LTD,250,Q S,,block_target_membership,
LTD,251,Q T,,block_target_membership,
LTD,252,Q V,,block_target_membership,
LTD,253,Q W,,block_target_membership,
LTD,254,Q X,,block_target_membership,
LTD,255,Q Y,,block_target_membership,
LTD,256,R S,,block_target_membership,
LTD,257,R T,,block_target_membership,
LTD,258,R V,,block_target_membership,
LTD,259,R W,,block_target_membership,
LTD,260,R X,,block_target_membership,
LTD,261,R Y,,block_target_membership,
LTD,262,S T,,block_target_membership,
LTD,263,S V,,block_target_membership,
LTD,264,S W,,block_target_membership,
LTD,265,S X,,block_target_membership,
LTD,266,S Y,,block_target_membership,
LTD,267,T V,,block_target_membership,
LTD,268,T W,,block_target_membership,
LTD,269,T X,,block_target_membership,
LTD,270,T Y,,block_target_membership,
LTD,271,V W,,block_target_membership,
LTD,272,V X,,block_target_membership,
LTD,273,V Y,,block_target_membership,
LTD,274,W X,,block_target_membership,
LTD,275,W Y,,block_target_membership,
LTD,276,X Y,,block_target_membership,
DPC,1,2  4,,same_parity,1
DPC,2,2  9,,same_parity,0
DPC,3,3  5,,same_parity,1
DPC,4,3  8,,same_parity,0
DPC,5,4  7,,same_parity,0
DPC,6,5  6,,same_parity,0
DPC,7,6  8,,same_parity,1
DPC,8,7  9,,same_parity,1
RMC,1,1_50_k,images/1_50_k.png,rotation_only,0
RMC,2,1_50_R_k,images/1_50_R_k.png,rotation_only,1
RMC,3,13_50_k,images/13_50_k.png,rotation_only,0
RMC,4,13_50_R_k,images/13_50_R_k.png,rotation_only,1
RMC,5,25_50_k,images/25_50_k.png,rotation_only,0
RMC,6,25_50_R_k,images/25_50_R_k.png,rotation_only,1
RMC,7,39_50_k,images/39_50_k.png,rotation_only,0
RMC,8,39_50_R_k,images/39_50_R_k.png,rotation_only,1
